"lat","severity","street1","street2","image_id","year","date","lng","coord","intersection","day","desc","precip","high","low","month"
"37.788405","INJURY","Arguello Bl","Presidiote","66","2012-01-01","2012-01-05","-122.459388","37.788405;-122.459388","Arguello Bl and Presidiote","05","Partly Cloudy","0.00","60","42","02"
"37.7813444","INJURY","Arguello St","Geary Bl","67","2012-01-01","2012-01-30","-122.4588752","37.7813444;-122.4588752","Arguello St and Geary Bl","30","Scattered Clouds","0.00","67","54","08"
"37.773915","INJURY","Ashbury St","Ashburyst80","68","2012-01-01","2012-01-30","-122.436524","37.773915;-122.436524","Ashbury St and Ashburyst80","30","Fog","0.00","71","58","06"
"37.7736412","PDO","Baker St","Fell St","69","2012-01-01","2012-01-24","-122.4409112","37.7736412;-122.4409112","Baker St and Fell St","24","Partly Cloudy","0.00","69","59","04"
"37.7677354","INJURY","14th St","Church St","7","2012-01-01","2012-01-06","-122.4289483","37.7677354;-122.4289483","14th St and Church St","06","Rain","0.07","61","45","02"
"37.7279635","INJURY","Bayshore","Bacon St","70","2012-01-01","2012-01-21","-122.4021642","37.7279635;-122.4021642","Bayshore and Bacon St","21","Scattered Clouds","0.00","82","56","07"
"37.8048154","INJURY","Bay St","Hyde St","71","2012-01-01","2012-01-25","-122.4201958","37.8048154;-122.4201958","Bay St and Hyde St","25","Rain","0.21","57","44","03"
"37.8081151","INJURY","Beach St","Grant Av","72","2012-01-01","2012-01-02","-122.4090985","37.8081151;-122.4090985","Beach St and Grant Av","02","Fog","0.00","70","53","08"
"37.7334852","INJURY","Bosworth St","Cuvier","73","2012-01-01","2012-01-21","-122.4286003","37.7334852;-122.4286003","Bosworth St and Cuvier","21","Clear","0.00","80","56","04"
"37.7818497","INJURY","Brannan St","2nd St","74","2012-01-01","2012-01-03","-122.3920993","37.7818497;-122.3920993","Brannan St and 2nd St","03","Rain","0.03","64","49","04"
"37.778341","INJURY","Brannan St","4th St","75","2012-01-01","2012-01-15","-122.3965525","37.778341;-122.3965525","Brannan St and 4th St","15","Partly Cloudy","0.00","61","51","05"
"37.7987416","INJURY","Broadway","Front St","76","2012-01-01","2012-01-16","-122.3998991","37.7987416;-122.3998991","Broadway and Front St","16","Fog","0.00","70","55","08"
"37.7976479","INJURY","Broadway","Stockton","77","2012-01-01","2012-01-19","-122.4086392","37.7976479;-122.4086392","Broadway and Stockton","19","Partly Cloudy","0.00","68","55","04"
"37.7959845","INJURY","Broadway St","Polk St","78","2012-01-01","2012-01-18","-122.4217921","37.7959845;-122.4217921","Broadway St and Polk St","18","Scattered Clouds","0.00","67","48","05"
